Country,Cases,Deaths,ReCovered,Death_Rate,Recovery_Rate,Risk_Level
Afghanistan,234174,7996,211080,3.414554989025255,90.13810243664967,Medium Risk
Albania,334863,3605,330233,1.0765596676849936,98.61734500377767,Low Risk
Algeria,272010,6881,183061,2.5296864085879194,67.2993639939708,Medium Risk
Andorra,48015,165,0,0.3436426116838488,0.0,Low Risk
Angola,107327,1937,103419,1.804764877430656,96.358791357254,Low Risk
Anguilla,3904,12,0,0.3073770491803279,0.0,Low Risk
Antigua and Barbuda,9106,146,8954,1.6033384581594552,98.33077092027234,Low Risk
Argentina,10128845,130841,9997258,1.2917662379076786,98.70086865777886,Low Risk
Armenia,451831,8777,435162,1.9425404631377663,96.31078876836693,Low Risk
Aruba,44224,292,42438,0.66027496382055,95.96146888567294,Low Risk
Australia,11853144,24414,11820014,0.20597066904780706,99.72049609791293,Low Risk
Austria,6081287,22542,6054934,0.3706781146819744,99.56665422960633,Low Risk
Azerbaijan,835234,10400,824089,1.2451600389830875,98.66564340053206,Low Risk
Bahamas,38084,844,36366,2.2161537653607817,95.4889192311732,Medium Risk
Bahrain,729549,1574,727915,0.2157497303128371,99.7760260105901,Low Risk
Bangladesh,2049377,29493,0,1.4391202789921036,0.0,Low Risk
Barbados,110578,648,108647,0.5860116840601204,98.25372135506159,Low Risk
Belarus,994037,7118,985592,0.7160699249625517,99.1504340381696,Low Risk
Belgium,4861695,34376,4826798,0.7070784983426562,99.28220507456761,Low Risk
Belize,71409,688,0,0.9634639891330226,0.0,Low Risk
Benin,28036,163,27847,0.5813953488372093,99.3258667427593,Low Risk
Bermuda,18860,165,18685,0.8748674443266171,99.07211028632025,Low Risk
Bhutan,62697,21,61564,0.03349442557060146,98.19289599183374,Low Risk
Bolivia,1212131,22407,1177145,1.8485625728572244,97.11367830704766,Low Risk
Bosnia,403615,16388,379084,4.060304993620158,93.92217831349183,Medium Risk
Botswana,330638,2801,327049,0.8471500553475403,98.91452283161645,Low Risk
Brazil,38743918,711380,36249161,1.8361075408016299,93.56090677251588,Low Risk
British Virgin Islands,7392,64,0,0.8658008658008658,0.0,Low Risk
Brunei,343719,225,243601,0.06546044879683695,70.87213683270346,Low Risk
Bulgaria,1339851,38748,1292944,2.891963360104967,96.49908833146372,Medium Risk
Burkina Faso,22114,400,21596,1.8088088993397848,97.65759247535499,Low Risk
Burundi,54721,38,53569,0.06944317538056688,97.8947753147786,Low Risk
Cabo Verde,64477,417,63755,0.6467422491741242,98.88022085394792,Low Risk
Cambodia,139103,3056,136044,2.196933207766907,97.80091011696369,Medium Risk
Cameroon,125379,1974,123280,1.5744263393391238,98.32587594413738,Low Risk
Canada,4946090,59034,4881312,1.1935488436320407,98.69031901967008,Low Risk
Caribbean Netherlands,11682,38,10476,0.32528676596473205,89.6764252696456,Low Risk
Cayman Islands,31472,37,8553,0.1175648195221149,27.17653787493645,Low Risk
Central African Republic,15440,113,15200,0.7318652849740932,98.44559585492227,Low Risk
Chad,7701,194,4874,2.519153356706921,63.290481755616156,Medium Risk
Channel Islands,101717,228,101321,0.22415132180461478,99.61068454633936,Low Risk
Chile,5384853,64497,5252450,1.1977485736379432,97.54119564638069,Low Risk
China,503302,5272,379053,1.0474824260583109,75.31323141970428,Low Risk
Colombia,6400173,143200,6212152,2.2374395192129963,97.06225128601993,Medium Risk
Comoros,9109,161,8939,1.7674827094082777,98.13371390932045,Low Risk
Congo,25375,386,24006,1.5211822660098522,94.60492610837439,Low Risk
Cook Islands,7203,2,7150,0.027766208524226017,99.264195474108,Low Risk
Costa Rica,1238883,9428,0,0.7610081016528599,0.0,Low Risk
Croatia,1309728,18687,1258432,1.4267847980649417,96.08346160424149,Low Risk
Cuba,1115251,8530,1106660,0.7648502444741139,99.22968013478581,Low Risk
